The total number of voters in India exceeds the entire population of Europe.||ଭାରତରେ ମୋଟ ଭୋଟରଙ୍କ ସଂଖ୍ୟା ଯେତିକି, ତାହା ସମ୍ପୂର୍ଣ୍ଣ ୟୁରୋପର ଜନସଂଖ୍ୟାଠାରୁ ମଧ୍ୟ ଅଧିକ ।
The world’s highest located polling station too, is in India.||ବିଶ୍ୱରେ ସବୁଠାରୁ ଉଚ୍ଚ ସ୍ଥାନରେ ଥିବା ଭୋଟ ଗ୍ରହଣ କେନ୍ଦ୍ର ମଧ୍ୟ ଭାରତରେ ହିଁ ରହିଛି ।
At an altitude of 15,000 feet, it is located in the Lahaul Spiti region of Himachal Pradesh.||ଏହି କେନ୍ଦ୍ର ହିମାଚଳ ପ୍ରଦେଶର ଲାହୋଲ-ସ୍ଫିତି କ୍ଷେତ୍ରରେ 15,000 ଫୁଟ ଉଚ୍ଚତାରେ ଅବସ୍ଥିତ ।
Besides this, there is another fact pertaining to these Elections, that swells our hearts with pride.||ଏହାଛଡ଼ା ଏହି ନିର୍ବାଚନରେ ଆଉ ଏକ ତଥ୍ୟ ରହିଛି ଯାହା ଆମକୁ ଗର୍ବରେ ପରିପୂର୍ଣ୍ଣ କରେ ।
Perhaps, this is the first time ever, that women have enthusiastically voted, as much as men did.||ହୁଏତ, ଇତିହାସର ଏହା ପ୍ରଥମ ଘଟଣା ଯେ, ମହିଳାମାନେ ମଧ୍ୟ ପୁରୁଷମାନଙ୍କ ଭଳି ଉତ୍ସାହର ସହ ମତଦାନ କଲେ ।
This time the ratio of men & women who voted was almost the same.||ଏହି ନିର୍ବାଚନରେ ପୁରୁଷ ଏବଂ ମହିଳାମାନଙ୍କ ମତଦାନ ହାର ପ୍ରାୟ ସମାନ ଥିଲା ।
Another encouraging fact is that, today, there are a record 78 women Members of Parliament.||ଏହାସହ ଜଡ଼ିତ ଅନ୍ୟ ଏକ ଉତ୍ସାହବର୍ଦ୍ଧକ ତଥ୍ୟ ହେଲା – ଆଜି ସଂସଦରେ ରେକର୍ଡ ସଂଖ୍ୟକ 78 ଜଣ ମହିଳା ସଦସ୍ୟା ଅଛନ୍ତି ।
I congratulate the Election Commission and every person connected with the electioneering process and salute the aware voters of India.||ମୁଁ ନିର୍ବାଚନ ଆୟୋଗକୁ ଏବଂ ନିର୍ବାଚନ ପ୍ରକ୍ରିୟା ସହ ଜଡ଼ିତ ପ୍ରତ୍ୟେକ ବ୍ୟକ୍ତିଙ୍କୁ ଅନେକ ଅନେକ ଅଭିନନ୍ଦନ ଜଣାଉଛି ଏବଂ ଭାରତର ସଚେତନ ନାଗରିକମାନଙ୍କୁ ପ୍ରଣାମ କରୁଛି ।
My dear countrymen, you may often have heard me say “No bouquet, just a book”!||ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ଆପଣମାନେ ଅନେକ ଥର ମୋ ମୁହଁରୁ ଶୁଣିଥିବେ ଯେ, “ବୁକେ ନୁହେଁ ବୁକ୍” ।
I had urged all to choose books over flowers in welcome or felicitation ceremonies.||ମୁଁ ଅନୁରୋଧ କରିବାକୁ ଚାହୁଁଥିଲି ଯେ, ସ୍ୱାଗତ କରିବା ସମୟରେ ଆମେ ଫୁଲତୋଡ଼ା ବଦଳରେ ବହି ଦେଇପାରିବା କି?
Since then, people have been offering books at many a place.||ସେହିଦିନୁ ଅନେକ ସ୍ଥାନରେ ଲୋକେ ବହି ଦେବା ଆରମ୍ଭ କରିଦେଇଛନ୍ତି ।
Just recently, someone gave me a book entitled ‘Premchand Ki Lokapriya Kahaniyan’, popular short stories by Premchand.||ମୋତେ ନିକଟ ଅତୀତରେ କେହି ଜଣେ “ପ୍ରେମଚନ୍ଦ୍ କି ଲୋକପ୍ରିୟ କାହାନିୟାଁ” ପୁସ୍ତକ ଉପହାର ଦେଲେ ।
It was a great feeling.||ମୋତେ ଖୁବ୍ ଭଲ ଲାଗିଲା ।
Of course, I couldn’t get much time, but during my travelling, I got an opportunity to read some of his short stories once again.||ଅବଶ୍ୟ ବେଶୀ ସମୟ ତ ମିଳିପାରିଲାନି, କିନ୍ତୁ ଯାତ୍ରା ସମୟରେ ମୋତେ ତାଙ୍କର କିଛି ଗଳ୍ପ ପୁଣିଥରେ ପଢ଼ିବାର ସୁଯୋଗ ମିଳିଗଲା ।
Images of the stark social realities that Premchand has portrayed in his stories vividly start forming in one’s mind when you read them.||ପ୍ରେମଚନ୍ଦ ନିଜ କାହାଣୀଗୁଡ଼ିକରେ ସମାଜର ଯେଉଁ ନିଚ୍ଛକ ଛବି ଆଙ୍କିଛନ୍ତି, ପଢ଼ିବା ସମୟରେ ସେଗୁଡ଼ିକର ଚିତ୍ର ଆପେ ଆପେ ଆପଣଙ୍କ ମାନସପଟରେ ଆଙ୍କି ହୋଇଯାଏ ।
Each & every element of his writings comes alive.||ସେ ଲେଖିଥିବା ପ୍ରତ୍ୟେକ କଥା ଜୀବନ୍ତ ହୋଇଉଠେ ।
His stories are expressions of human emotions through simple, lucid language… they have touched my heart.||ସରଳ ଭାଷାରେ ମାନବୀୟ ସମ୍ବେଦନାକୁ ପ୍ରକାଶ କରୁଥିବା ତାଙ୍କ କାହାଣୀମାନ ମୋ ମନକୁ ମଧ୍ୟ ଛୁଇଁଗଲା ।
His stories embody the collective psyche’, the cumulative being of the country, of the land.||ତାଙ୍କ କାହାଣୀଗୁଡ଼ିକରେ ସମଗ୍ର ଭାରତର ମନୋଭାବ ସନ୍ନିହିତ ହୋଇ ରହିଛି ।
While reading one of his stories ‘Nashaa’, I couldn’t help but notice the scourge of economic disparity plaguing society.||ମୁଁ ଯେତେବେଳେ ତାଙ୍କ ଲିଖିତ “ନଶା” ନାମକ କାହାଣୀ ପଢ଼ୁଥିଲି,ସେତେବେଳେ ମୋ ମନ ଆପେ ଆପେ ସମାଜରେ ପରିବ୍ୟାପ୍ତ ଆର୍ଥିକ ବୈଷମ୍ୟ ଆଡ଼କୁ ଚାଲିଗଲା ।
I was reminded of my younger days… how debates on this subject would carry on through entire nights!||ମୋତେ ମୋର ଯୁବାବସ୍ଥାର ସେହି ଦିନଗୁଡ଼ିକ ମନେ ପଡ଼ିଗଲା ଯେତେବେଳେ ଏହି ବିଷୟକୁ ନେଇ ରାତିସାରା ଆଲୋଚନା ହେଉଥିଲା ।
The other story that touched the core of my heart was ‘Eidgah’… the sensitivity of a young lad, his unsullied love for his grandmother, such maturity at that early age! When 4-5 years old Hamid comes back to his grandma with a pair of tongs, indeed, it stirs human emotions to their supreme pinnacle.||ଜମିଦାରର ପୁଅ ଈଶ୍ୱରୀ ଆଉ ଗରିବ ପରିବାରର ବୀରର ଏହି କାହାଣୀ ଆମକୁ ଶିକ୍ଷା ଦେଇଥାଏ ଯେ, ଆମେ ଯଦି ସାବଧାନ ନ ରହିବା, ତା’ହେଲେ କୁସଙ୍ଗତିର ପ୍ରଭାବ କେତେବେଳେ ଆମକୁ କବଳିତ କରିଦେବ ତାହା ଜଣାପଡ଼ିବ ନାହିଁ ।
The concluding line of this story makes one very emotional since it holds a vital truth about life, “Young Hamid played the role of aged Hamid – aged Ameena had turned into child Ameena”.||ଅନ୍ୟ ଏକ କାହାଣୀ ଯାହା ମୋ ହୃଦୟକୁ ଗଭୀର ଭାବେ ସ୍ପର୍ଶ କଲା ତାହା ଥିଲା “ଈଦ୍ଗାହ” ।ଜଣେ ବାଳକର ସମ୍ବେଦନଶୀଳତା, ନିଜର ବୁଢ଼ୀ ମା’ ପାଇଁ ତାର ନିଚ୍ଛକ ଆଦର,ଏତେ କମ୍ ବୟସରେ ଏତେ ପରିପକ୍ୱ ଭାବନା – 4-5 ବର୍ଷର ହମିଦ୍, ମେଳାରୁ ଚିମୁଟା କିଣି ନିଜ ବୁଢ଼ୀ ମା’ ପାଖରେ ପହଂଚିଛି, ସେତେବେଳେ ବାସ୍ତବରେ ମାନବୀୟ ସମ୍ବେଦନା ଏହାର ଚରମ ସୀମାରେ ପହଂଚିଯାଉଛି ।
Another such poignant story is 'Poos Ki Raat'.||ଏହି କାହାଣୀର ଶେଷ ପଂକ୍ତି ଖୁବ ମନକୁ ଛୁଇଁଲା ପରି ହୋଇଛି, କାରଣ ସେଥିରେ ଜୀବନର ଗୋଟିଏ ବହୁତ ବଡ଼ ସତ୍ୟ ରହିଛି । ଛୋଟ ହମିଦ୍, ବୁଢ଼ା ହମିଦର ଚରିତ୍ର ନିର୍ବାହ କରିଥିବାବେଳେ ବୃଦ୍ଧା ଅମୀନା ବାଳିକା ଅମୀନା ପାଲଟିଯାଇଥିଲା ।
In this story, the living depiction of the paradoxes in a poor farmer's life is seen.||ଏହିଭଳି ଆଉ ଏକ ମାର୍ମିକ କାହାଣୀ ହେଉଛି “ପୁସ୍ କି ରାତ”(ପୌଷର ରାତି) ।
Halku the farmer is happy even after his crops are destroyed by frost, because now he will not be forced to sleep in his fields in the cold winter.||ଏହି କାହାଣୀରେ ଜଣେ ଗରିବ ଚାଷୀ ଜୀବନର ବିଡ଼ମ୍ବନାର ଜୀବନ୍ତ ଚିତ୍ର ଦେଖିବାକୁ ମିଳିଲା ।
Though these stories were written about a century ago but remain relevant all the same even today.||ନିଜ ଫସଲ ନଷ୍ଟ ହେବାପରେ ମଧ୍ୟ ଚାଷୀ ହଲ୍ଦୁ ଏଥିପାଇଁ ଖୁସି ଯେ,ଏବେ ତାକୁ ପ୍ରବଳ ଶୀତରେ ବିଲରେ ଶୋଇବାକୁ ପଡ଼ିବନି ।
After reading these stories, I felt myself to be empathetic.||ଯଦିଓ ଏହି କାହାଣୀଗୁଡ଼ିକ ପ୍ରାୟ ଶହେ ବର୍ଷ ପୂର୍ବର, କିନ୍ତୁ ଏଗୁଡ଼ିକର ପ୍ରାସଙ୍ଗିକତା ଆଜି ମଧ୍ୟ ସେତିକି ହିଁ ଅନୁଭୂତ ହେଉଛି ।
Now that we are conversing about reading, then in some extension of media, I had read about the Akshara Library in Kerala.||ଏଗୁଡ଼ିକୁ ପଢ଼ିବା ପରେ ମୋର ଗୋଟିଏ ଭିନ୍ନ ଅନୁଭୂତି ହେଲା ।
You will be surprised to learn that this library lies in a village nestling within the dense forests of Idukki.||ପଠନ କଥା ଯେହେତୁ ଚାଲିଛି, ସେତେବେଳେ କହିବାକୁ ଚାହୁଁଛି ଯେ, କୌଣସି ଏକ ଗଣମାଧ୍ୟମରେ ମୁଁ କେରଳର ଅକ୍ଷରା ଲାଇବ୍ରେରୀ ସମ୍ପର୍କରେ ପଢ଼ୁଥିଲି ।
A Primary school teacher, P.K.Muralidharan and P.V.Chinnathampi who runs a small tea shop, have between them worked tirelessly for this library.||ଆପଣମାନେ ଜାଣି ଆଶ୍ଚର୍ଯ୍ୟ ହେବେ ଯେ, ଏହି ଲାଇବ୍ରେରୀ ଇଡୁକ୍କିର ଘନ ଜଙ୍ଗଲ ମଧ୍ୟରେ ରହିଥିବା ଗୋଟିଏ ଗାଁରେ ଅଛି ।
There was a time when the books were brought here stuffed in sacks and carried on the back.||ଏଠାକାର ପ୍ରାଥମିକ ବିଦ୍ୟାଳୟର ଶିକ୍ଷକ ପି.କେ. ମୁରଲୀଧରନ୍ ଏବଂ ଗୋଟିଏ ଛୋଟ ଚା’ ଦୋକାନ କରିଥିବା ପି.ଭି. ଚିନ୍ନାଥମ୍ପି,ଏମାନେ ଦୁହେଁ ଏହି ଲାଇବ୍ରେରୀ ପାଇଁ ଅଜସ୍ର ପରିଶ୍ରମ କରିଛନ୍ତି ।
Today this library is a beacon guiding tribal children on a new path.||ଥରେ ଏମିତି ବେଳ ପଡ଼ିଲା ଯେ, ବହିଗୁଡ଼ିକୁ ଗଣ୍ଠିଲିରେ ବାନ୍ଧି ପିଠିରେ ବୋହି ଏଠାକୁ ଆଣିବାକୁ ପଡ଼ିଥିଲା ।
